industry,subscription_type,country,usage_frequency,login_activity,support_tickets,monthly_spend,payment_history,churn
Finance,Enterprise,Sri lanka,37.0,73.0,3,115,Late,0
Travel,Pro,Sri lanka,24.0,23.0,5,292,Late,0
Travel,Basic,Germany,20.0,112.0,1,38,Failed,0
Finance,Basic,Germany,36.0,12.0,5,386,On_time,0
Technology,Basic,India,16.0,117.0,0,415,On_time,0
Finance,Enterprise,Germany,25.0,52.0,4,61,On_time,0
Healthcare,Basic,Sri lanka,39.0,14.0,3,165,Late,0
Technology,Basic,Australia,12.0,9.0,2,26,Late,1
Technology,Enterprise,UK,13.0,40.0,0,453,Late,0
Healthcare,Enterprise,Australia,27.0,66.0,0,184,Late,0
Technology,Pro,India,38.0,83.0,3,346,Failed,0
Education,Pro,Australia,25.0,45.0,2,464,Late,0
Retail,Pro,Sri lanka,39.0,91.0,1,145,Late,0
Education,Basic,Germany,3.0,45.0,0,239,Late,0
Retail,Pro,India,20.0,92.0,4,210,Failed,0
Healthcare,Enterprise,Australia,25.0,56.0,4,322,Failed,1
Healthcare,Basic,Germany,21.0,80.0,2,246,On_time,0
Finance,Basic,UK,19.0,20.0,0,66,On_time,0
Travel,Enterprise,USA,14.0,15.0,4,31,Failed,1
Healthcare,Enterprise,UK,10.0,96.0,0,377,Late,0
Retail,Enterprise,USA,12.0,24.0,2,109,Late,0
Travel,Enterprise,Australia,8.0,58.0,1,376,On_time,0
Education,Pro,India,36.0,64.0,1,220,Late,0
Healthcare,Enterprise,Sri lanka,33.0,117.0,2,65,Late,0
Healthcare,Pro,USA,35.0,6.0,6,138,Failed,1
Healthcare,Basic,Australia,33.0,118.0,2,360,On_time,0
Technology,Pro,USA,26.0,63.0,3,124,Failed,1
Travel,Pro,Australia,35.0,1.0,0,330,Failed,1
Healthcare,Enterprise,Australia,6.0,92.0,7,97,Failed,0
Healthcare,Basic,Sri lanka,9.0,110.0,1,279,Failed,0
Healthcare,Enterprise,USA,1.0,113.0,1,114,Failed,1
Healthcare,Pro,Germany,8.0,39.0,4,73,On_time,0
Finance,Pro,Australia,5.0,94.0,2,322,Late,0
Technology,Enterprise,Sri lanka,23.0,79.0,6,357,Late,1
Retail,Pro,USA,30.0,79.0,3,491,On_time,0
Education,Basic,India,15.0,30.0,3,203,Late,0
Education,Pro,USA,17.0,74.0,1,88,On_time,0
Education,Enterprise,India,34.0,6.0,2,259,On_time,1
Technology,Basic,UK,11.0,115.0,3,419,Late,0
Travel,Enterprise,India,8.0,4.0,1,214,Late,0
Education,Enterprise,Sri lanka,32.0,67.0,3,296,On_time,0
Retail,Enterprise,Australia,5.0,82.0,1,424,On_time,0
Finance,Basic,Australia,6.0,1.0,3,237,Failed,1
Healthcare,Pro,India,27.0,,0,66,Late,0
Travel,Enterprise,UK,22.0,111.0,1,67,Late,0
Healthcare,Enterprise,Germany,17.0,26.0,1,374,Failed,0
Retail,Pro,India,15.0,47.0,2,490,Late,0
Education,Enterprise,UK,,88.0,1,206,Failed,0
Healthcare,Enterprise,Australia,7.0,3.0,3,313,On_time,0
Finance,Pro,Germany,35.0,115.0,1,47,Failed,1
Technology,Enterprise,USA,10.0,39.0,1,493,Failed,0
Healthcare,Basic,Australia,25.0,17.0,2,252,Late,0
Education,Enterprise,UK,18.0,111.0,4,61,Late,0
Travel,Pro,Australia,37.0,6.0,2,334,Failed,1
Healthcare,Pro,India,6.0,101.0,1,296,On_time,0
Education,Pro,Germany,6.0,70.0,1,350,On_time,0
Retail,Enterprise,Australia,30.0,95.0,0,156,On_time,0
Travel,Enterprise,Sri lanka,3.0,115.0,0,248,Late,0
Healthcare,Enterprise,Sri lanka,36.0,24.0,0,341,Failed,0
Healthcare,Enterprise,India,20.0,92.0,1,137,Late,0
Education,Enterprise,Sri lanka,30.0,102.0,4,319,Late,0
Education,Enterprise,Australia,5.0,70.0,3,159,Late,0
Retail,Enterprise,Sri lanka,1.0,90.0,1,401,Late,0
Finance,Enterprise,Australia,11.0,100.0,2,29,Late,0
Finance,Pro,Australia,5.0,23.0,1,187,Late,0
Retail,Pro,Australia,2.0,84.0,2,478,Failed,0
Healthcare,Pro,Germany,15.0,24.0,2,88,Failed,0
Retail,Pro,UK,14.0,117.0,2,54,Failed,0
Finance,Pro,Australia,1.0,,1,368,Late,1
Education,Pro,Australia,8.0,11.0,2,232,Late,0
Technology,Basic,UK,37.0,5.0,3,61,Late,0
Education,Basic,Australia,25.0,18.0,2,198,On_time,0
Travel,Enterprise,Sri lanka,38.0,97.0,2,244,Failed,0
Finance,Pro,Germany,2.0,78.0,0,123,Failed,1
Technology,Enterprise,Sri lanka,39.0,51.0,2,61,Late,0
Retail,Basic,India,15.0,111.0,4,116,Failed,0
Technology,Basic,UK,37.0,27.0,1,105,Late,0
Finance,Pro,Sri lanka,2.0,10.0,2,416,Failed,1
Finance,Pro,Sri lanka,31.0,47.0,1,203,Late,0
Education,Pro,India,15.0,29.0,2,192,Late,0
Finance,Basic,Australia,2.0,27.0,3,88,Late,0
Healthcare,Pro,UK,20.0,11.0,2,42,On_time,0
Travel,Pro,Sri lanka,26.0,46.0,2,229,Late,0
Travel,Basic,UK,25.0,97.0,0,335,Late,0
Travel,Pro,Germany,12.0,108.0,4,111,Failed,0
Travel,Enterprise,USA,31.0,9.0,4,321,Failed,1
Healthcare,Enterprise,UK,37.0,21.0,1,490,Late,0
Education,Pro,Australia,1.0,63.0,1,418,Late,1
Education,Basic,India,21.0,47.0,0,156,Late,0
Travel,Enterprise,USA,10.0,52.0,2,263,On_time,0
Technology,Enterprise,Australia,25.0,90.0,2,437,On_time,0
Technology,Enterprise,USA,27.0,17.0,1,270,On_time,0
Education,Enterprise,USA,24.0,25.0,3,82,Late,0
Healthcare,Basic,Sri lanka,22.0,26.0,0,488,On_time,0
Retail,Enterprise,Germany,7.0,81.0,2,495,Failed,0
Finance,Enterprise,Australia,40.0,49.0,1,497,On_time,0
Retail,Pro,Germany,23.0,51.0,2,304,Failed,0
Education,Pro,India,29.0,30.0,3,213,Late,0
Healthcare,Enterprise,India,28.0,113.0,2,404,Failed,0
Healthcare,Pro,India,8.0,29.0,0,150,Failed,0
Education,Basic,Australia,32.0,10.0,2,106,Failed,0
Healthcare,Pro,Germany,28.0,32.0,2,266,On_time,0
Healthcare,Enterprise,India,3.0,88.0,1,347,Failed,1
Retail,Basic,India,37.0,67.0,7,184,Late,0
Finance,Pro,Sri lanka,21.0,14.0,2,282,On_time,0
Travel,Basic,Germany,33.0,23.0,1,422,On_time,0
Healthcare,Pro,Australia,36.0,29.0,3,253,On_time,0
Healthcare,Basic,Australia,2.0,67.0,2,441,Late,0
Education,Basic,Sri lanka,30.0,9.0,1,361,On_time,0
Finance,Enterprise,India,24.0,81.0,4,134,On_time,0
Healthcare,Enterprise,UK,17.0,14.0,3,297,On_time,0
Education,Enterprise,UK,4.0,26.0,1,234,Failed,0
Finance,Pro,Australia,,75.0,4,184,Late,0
Healthcare,Enterprise,Australia,25.0,102.0,2,488,Failed,0
Finance,Enterprise,Australia,27.0,57.0,2,256,Late,0
Retail,Enterprise,Sri lanka,7.0,10.0,3,83,On_time,0
Retail,Pro,Germany,2.0,54.0,1,311,Late,1
Technology,Pro,UK,26.0,29.0,1,183,On_time,0
Retail,Pro,Australia,39.0,104.0,4,308,On_time,0
Finance,Basic,USA,36.0,111.0,2,465,Failed,1
Technology,Enterprise,Sri lanka,34.0,73.0,1,220,Late,0
Travel,Enterprise,USA,40.0,17.0,3,310,On_time,0
Healthcare,Pro,Sri lanka,3.0,114.0,3,294,On_time,1
Technology,Basic,Sri lanka,37.0,44.0,5,99,Failed,1
Finance,Pro,USA,,83.0,5,108,Late,0
Technology,Enterprise,Australia,12.0,15.0,1,45,On_time,0
Technology,Basic,Germany,32.0,10.0,4,354,On_time,0
Technology,Basic,UK,7.0,9.0,1,334,Failed,1
Technology,Enterprise,India,23.0,93.0,3,122,Late,0
Healthcare,Enterprise,Sri lanka,17.0,14.0,2,117,On_time,0
Healthcare,Enterprise,USA,3.0,37.0,2,58,Late,0
Technology,Enterprise,India,15.0,113.0,4,127,On_time,0
Education,Basic,India,2.0,55.0,2,288,Late,0
Education,Pro,Australia,13.0,18.0,5,264,On_time,0
Travel,Basic,India,16.0,56.0,1,433,Late,0
Technology,Basic,India,25.0,103.0,2,448,Failed,1
Travel,Basic,Australia,14.0,30.0,3,456,Late,0
Healthcare,Enterprise,Australia,15.0,73.0,0,396,Failed,1
Technology,Enterprise,UK,24.0,68.0,3,217,Late,0
Travel,Pro,UK,39.0,56.0,5,91,Late,0
Education,Enterprise,Sri lanka,20.0,93.0,3,245,Late,0
Education,Pro,USA,26.0,41.0,2,280,On_time,0
Education,Basic,Germany,23.0,49.0,3,438,Late,0
Retail,Pro,Germany,18.0,62.0,5,87,Late,0
Healthcare,Enterprise,Sri lanka,14.0,101.0,0,124,Failed,0
Finance,Enterprise,Australia,3.0,92.0,1,245,Failed,1
Retail,Pro,USA,12.0,42.0,3,491,Late,0
Healthcare,Pro,Germany,15.0,38.0,2,473,Late,0
Finance,Pro,Germany,37.0,60.0,0,303,On_time,0
Retail,Basic,UK,5.0,77.0,3,205,On_time,0
Travel,Basic,Australia,3.0,56.0,4,355,Failed,1
Healthcare,Pro,India,40.0,92.0,6,441,On_time,0
Healthcare,Pro,Germany,7.0,5.0,2,42,Late,1
Healthcare,Enterprise,Australia,10.0,,2,375,Late,0
Finance,Pro,USA,2.0,78.0,2,32,Late,0
Technology,Enterprise,Australia,27.0,113.0,1,373,On_time,0
Travel,Enterprise,USA,24.0,109.0,1,433,On_time,0
Education,Basic,India,7.0,74.0,3,56,On_time,0
Travel,Enterprise,UK,29.0,22.0,2,238,Late,0
Technology,Pro,Sri lanka,17.0,12.0,0,413,Late,0
Technology,Enterprise,Germany,1.0,22.0,1,325,Failed,1
Finance,Enterprise,UK,14.0,64.0,3,479,Failed,1
Retail,Basic,USA,7.0,29.0,0,153,Failed,0
Retail,Enterprise,India,15.0,32.0,3,304,Failed,1
Finance,Pro,UK,4.0,81.0,0,58,Failed,1
Education,Enterprise,Sri lanka,15.0,119.0,4,478,Late,0
Education,Pro,India,27.0,67.0,2,40,Failed,0
Healthcare,Pro,India,16.0,101.0,2,406,Failed,1
Retail,Basic,UK,1.0,58.0,2,339,Failed,1
Technology,Basic,India,25.0,24.0,4,164,Failed,1
Finance,Pro,Australia,29.0,53.0,1,69,Late,0
Finance,Basic,Australia,7.0,3.0,4,34,On_time,1
Healthcare,Enterprise,India,25.0,94.0,0,292,Late,0
Technology,Basic,UK,20.0,100.0,1,463,On_time,0
Travel,Basic,Germany,22.0,118.0,2,83,Late,0
Travel,Basic,India,13.0,81.0,0,293,Late,0
Healthcare,Pro,India,30.0,64.0,5,444,Failed,0
Retail,Pro,USA,8.0,11.0,1,420,Late,0
Travel,Enterprise,Germany,12.0,46.0,1,105,Failed,0
Finance,Basic,UK,28.0,20.0,3,244,On_time,0
Education,Pro,UK,33.0,105.0,1,135,Failed,0
Travel,Basic,USA,26.0,22.0,2,141,Late,0
Retail,Enterprise,Germany,15.0,98.0,0,447,On_time,0
Education,Enterprise,USA,40.0,75.0,0,142,Late,0
Healthcare,Pro,USA,6.0,9.0,1,435,Failed,1
Travel,Pro,UK,12.0,8.0,5,227,Late,0
Finance,Pro,USA,4.0,6.0,3,381,Late,1
Technology,Pro,Sri lanka,14.0,75.0,3,262,Late,0
Retail,Enterprise,Germany,19.0,55.0,3,307,On_time,0
Retail,Basic,India,18.0,70.0,4,221,Late,0
Travel,Enterprise,USA,35.0,61.0,0,466,On_time,0
Travel,Enterprise,Australia,15.0,97.0,3,43,Failed,0
Travel,Enterprise,Australia,20.0,37.0,1,39,On_time,0
Technology,Enterprise,India,24.0,50.0,4,85,Failed,0
Finance,Pro,USA,15.0,34.0,4,150,Late,0
Technology,Enterprise,UK,18.0,40.0,3,497,On_time,0
Retail,Pro,USA,23.0,42.0,2,344,On_time,0
Finance,Enterprise,USA,38.0,109.0,1,400,On_time,0
Healthcare,Enterprise,India,14.0,103.0,2,398,Late,0
Finance,Basic,UK,25.0,28.0,2,443,Late,0
Retail,Pro,India,12.0,56.0,1,306,Late,0
Technology,Basic,Germany,11.0,10.0,0,289,On_time,0
Technology,Pro,UK,16.0,74.0,2,152,Failed,0
Technology,Enterprise,Sri lanka,20.0,8.0,2,487,On_time,1
Healthcare,Pro,USA,28.0,107.0,5,226,Failed,1
Education,Basic,Sri lanka,6.0,108.0,1,353,Late,0
Healthcare,Pro,India,2.0,73.0,2,138,Failed,0
Travel,Pro,USA,35.0,70.0,1,180,Failed,0
Education,Pro,India,14.0,12.0,3,236,Late,0
Retail,Enterprise,Germany,29.0,57.0,2,426,Failed,0
Education,Pro,Sri lanka,38.0,84.0,0,145,On_time,0
Healthcare,Pro,Germany,16.0,50.0,2,148,Late,0
Healthcare,Pro,India,8.0,29.0,2,309,Failed,0
Retail,Enterprise,UK,1.0,55.0,2,485,On_time,0
Retail,Pro,India,17.0,26.0,2,347,Late,0
Finance,Pro,USA,25.0,46.0,6,469,Failed,0
Retail,Enterprise,UK,6.0,63.0,5,343,Failed,1
Education,Basic,India,34.0,102.0,3,298,Failed,0
Technology,Basic,USA,19.0,109.0,1,329,Failed,0
Finance,Pro,USA,7.0,,2,162,Failed,0
Education,Basic,Germany,21.0,19.0,2,310,Late,0
Technology,Basic,Germany,38.0,90.0,1,481,On_time,0
Retail,Basic,UK,10.0,66.0,3,473,On_time,0
Technology,Basic,Germany,28.0,117.0,1,152,Late,0
Travel,Pro,India,34.0,48.0,4,383,Late,0
Finance,Basic,Germany,21.0,23.0,2,418,Failed,0
Technology,Pro,Sri lanka,25.0,36.0,1,296,On_time,0
Finance,Basic,UK,13.0,86.0,1,471,Failed,0
Healthcare,Basic,UK,27.0,29.0,2,439,Late,0
Travel,Basic,Australia,30.0,18.0,4,127,Failed,1
Technology,Basic,UK,10.0,39.0,2,445,Late,0
Healthcare,Pro,USA,36.0,84.0,3,381,Late,0
Education,Enterprise,UK,13.0,119.0,4,491,Late,0
Travel,Basic,India,8.0,24.0,1,312,Failed,0
Retail,Pro,UK,4.0,50.0,5,458,Late,1
Healthcare,Pro,Sri lanka,5.0,47.0,2,168,Failed,0
Healthcare,Basic,Australia,17.0,22.0,0,162,Failed,0
Finance,Pro,USA,35.0,92.0,1,476,Failed,0
Finance,Enterprise,India,14.0,77.0,3,104,Failed,0
Travel,Pro,USA,18.0,67.0,3,299,Failed,1
Travel,Pro,India,19.0,68.0,2,55,Failed,0
Travel,Pro,UK,40.0,101.0,2,398,On_time,0
Finance,Pro,USA,6.0,41.0,4,179,Late,0
Retail,Basic,Australia,21.0,8.0,3,278,On_time,0
Travel,Basic,India,22.0,70.0,0,191,On_time,0
Retail,Enterprise,UK,2.0,102.0,3,319,Failed,0
Finance,Enterprise,India,,69.0,1,330,Late,0
Healthcare,Basic,USA,16.0,106.0,0,140,On_time,0
Healthcare,Basic,UK,16.0,12.0,4,367,Failed,0
Healthcare,Pro,Germany,40.0,118.0,6,250,Failed,1
Education,Pro,UK,32.0,33.0,2,161,On_time,0
Education,Pro,Germany,36.0,97.0,1,380,Late,0
Technology,Basic,Australia,21.0,2.0,3,426,On_time,0
Travel,Enterprise,USA,26.0,68.0,2,162,On_time,0
Healthcare,Pro,Sri lanka,22.0,60.0,3,101,On_time,0
Education,Enterprise,UK,35.0,30.0,5,424,Failed,1
Healthcare,Pro,UK,35.0,66.0,1,225,Failed,1
Technology,Pro,Sri lanka,20.0,82.0,2,329,Failed,0
Travel,Enterprise,India,33.0,36.0,1,355,On_time,0
Retail,Enterprise,USA,3.0,99.0,1,136,Failed,1
Healthcare,Enterprise,USA,34.0,8.0,2,192,Failed,1
Healthcare,Pro,Australia,12.0,32.0,0,111,On_time,0
Retail,Basic,UK,13.0,31.0,2,409,On_time,0
Retail,Basic,Australia,32.0,93.0,0,149,Failed,0
Retail,Basic,India,23.0,83.0,2,364,Late,0
Travel,Basic,USA,2.0,,3,412,On_time,1
Healthcare,Basic,Germany,35.0,21.0,0,209,Late,0
Finance,Basic,Australia,7.0,80.0,3,120,Failed,0
Finance,Pro,Australia,39.0,52.0,1,441,On_time,0
Finance,Basic,Australia,39.0,50.0,0,135,Failed,0
Technology,Basic,Sri lanka,35.0,7.0,2,105,Late,1
Retail,Basic,UK,5.0,55.0,2,98,Failed,0
Finance,Basic,Australia,21.0,10.0,1,408,Failed,0
Education,Enterprise,USA,1.0,13.0,0,261,Failed,1
Education,Enterprise,Sri lanka,21.0,53.0,3,207,Late,0
Travel,Basic,Australia,11.0,63.0,1,136,Failed,0
Finance,Basic,Sri lanka,26.0,68.0,3,240,On_time,0
Education,Enterprise,UK,29.0,38.0,2,211,Late,0
Healthcare,Enterprise,India,17.0,9.0,2,116,Late,0
Finance,Enterprise,Sri lanka,10.0,114.0,0,463,On_time,0
Travel,Basic,UK,40.0,21.0,3,452,Failed,0
Finance,Enterprise,Germany,15.0,17.0,0,363,Late,0
Education,Enterprise,India,19.0,69.0,3,106,Late,0
Retail,Pro,Sri lanka,1.0,109.0,1,36,Late,0
Education,Basic,UK,5.0,20.0,2,158,On_time,0
Travel,Basic,Sri lanka,15.0,83.0,1,461,Failed,0
Finance,Basic,Germany,5.0,5.0,2,57,Late,1
Technology,Basic,Sri lanka,32.0,112.0,4,453,On_time,0
Healthcare,Enterprise,Germany,3.0,49.0,1,124,Failed,1
Education,Enterprise,USA,25.0,119.0,0,389,Late,0
Technology,Pro,India,10.0,21.0,0,366,On_time,0
Retail,Enterprise,Sri lanka,40.0,2.0,5,290,Late,0
Finance,Pro,Sri lanka,,40.0,1,334,Late,0
Technology,Basic,Germany,14.0,89.0,1,487,Late,0
Retail,Enterprise,Australia,21.0,44.0,2,141,On_time,0
Healthcare,Basic,Australia,32.0,94.0,4,168,On_time,0
Finance,Enterprise,India,8.0,46.0,3,105,Late,0
Education,Pro,India,22.0,107.0,2,277,Failed,1
Healthcare,Basic,Germany,29.0,85.0,2,426,On_time,0
Finance,Pro,Australia,24.0,44.0,3,210,Failed,1
Education,Pro,Sri lanka,19.0,23.0,4,381,Late,0
Travel,Pro,UK,16.0,72.0,3,243,Late,0
Technology,Basic,Germany,34.0,107.0,3,85,On_time,0
Technology,Basic,USA,13.0,9.0,1,109,Failed,0
Travel,Basic,Sri lanka,12.0,81.0,0,140,On_time,0
Technology,Enterprise,Sri lanka,34.0,53.0,1,262,Failed,0
Travel,Pro,UK,31.0,119.0,2,130,Late,0
Education,Pro,Germany,4.0,20.0,2,249,On_time,0
Technology,Pro,Sri lanka,21.0,54.0,1,57,On_time,0
Travel,Pro,UK,4.0,60.0,1,138,Late,1
Technology,Enterprise,India,7.0,4.0,2,205,Failed,1
Finance,Pro,UK,4.0,24.0,3,324,On_time,0
Technology,Pro,Australia,19.0,22.0,3,375,Failed,0
Travel,Enterprise,Australia,19.0,48.0,1,132,Late,0
Finance,Basic,USA,33.0,18.0,1,495,Failed,0
Travel,Enterprise,Sri lanka,11.0,57.0,4,494,On_time,0
Technology,Basic,Australia,15.0,70.0,4,80,Failed,1
Retail,Basic,India,10.0,50.0,1,369,Late,0
Education,Pro,Sri lanka,6.0,81.0,2,54,Late,0
Education,Basic,Sri lanka,26.0,115.0,2,424,On_time,0
Healthcare,Pro,UK,10.0,64.0,1,279,On_time,0
Retail,Pro,Australia,39.0,39.0,3,201,On_time,0
Travel,Pro,Sri lanka,31.0,84.0,2,383,Late,0
Finance,Basic,Australia,30.0,86.0,1,239,Failed,1
Retail,Enterprise,Australia,14.0,10.0,2,224,On_time,0
Travel,Enterprise,Germany,6.0,44.0,1,126,Late,0
Travel,Basic,Australia,20.0,82.0,1,215,Failed,0
Education,Pro,Australia,33.0,91.0,2,267,Late,0
Technology,Pro,Sri lanka,11.0,20.0,0,451,On_time,0
Technology,Enterprise,Australia,7.0,21.0,0,395,Failed,0
Retail,Basic,Germany,14.0,57.0,2,106,Late,0
Technology,Pro,USA,26.0,37.0,4,444,On_time,0
Education,Pro,Sri lanka,33.0,50.0,2,105,Late,0
Education,Basic,Germany,33.0,81.0,2,62,Late,0
Travel,Basic,India,39.0,86.0,2,117,Late,0
Retail,Enterprise,Sri lanka,1.0,74.0,2,85,On_time,0
Retail,Basic,USA,10.0,98.0,3,443,On_time,0
Travel,Pro,USA,38.0,60.0,4,296,Late,0
Travel,Pro,Australia,20.0,26.0,2,395,Failed,0
Education,Enterprise,Australia,40.0,85.0,1,289,Late,0
Travel,Pro,Sri lanka,27.0,105.0,3,267,Late,0
Travel,Enterprise,Germany,3.0,72.0,1,246,Late,0
Travel,Enterprise,UK,6.0,39.0,5,93,On_time,0
Travel,Basic,India,8.0,24.0,2,91,On_time,0
Travel,Pro,Australia,9.0,47.0,2,335,Late,0
Travel,Basic,UK,20.0,70.0,4,59,Failed,1
Finance,Pro,UK,38.0,33.0,1,27,On_time,0
Education,Basic,USA,37.0,32.0,1,279,On_time,0
Technology,Basic,Sri lanka,30.0,70.0,2,414,Failed,0
Education,Pro,UK,16.0,1.0,4,121,Failed,0
Technology,Pro,USA,31.0,59.0,1,44,Late,0
Travel,Basic,USA,3.0,97.0,0,423,On_time,0
Travel,Enterprise,Germany,34.0,26.0,0,152,Late,0
Technology,Enterprise,India,35.0,61.0,1,453,On_time,0
Healthcare,Enterprise,Sri lanka,6.0,83.0,5,489,Late,0
Education,Enterprise,India,3.0,76.0,1,296,Failed,1
Retail,Enterprise,Australia,28.0,90.0,0,488,On_time,0
Finance,Enterprise,Australia,35.0,52.0,2,94,Failed,0
Travel,Basic,UK,23.0,48.0,4,308,Late,0
Education,Enterprise,USA,20.0,16.0,0,443,On_time,0
Technology,Enterprise,USA,28.0,47.0,2,475,Late,0
Education,Basic,Sri lanka,23.0,63.0,2,162,On_time,0
Healthcare,Pro,USA,21.0,99.0,4,412,On_time,0
Technology,Enterprise,USA,35.0,77.0,3,462,Failed,0
Healthcare,Pro,USA,27.0,98.0,3,54,Late,0
Retail,Basic,Australia,19.0,30.0,2,443,On_time,0
Retail,Basic,Germany,24.0,14.0,3,454,Late,0
Travel,Enterprise,UK,3.0,42.0,5,140,On_time,1
Retail,Pro,India,19.0,47.0,1,456,Failed,0
Healthcare,Pro,Australia,36.0,40.0,1,180,Late,0
Healthcare,Pro,India,25.0,14.0,2,241,Late,0
Finance,Pro,USA,4.0,68.0,3,139,On_time,0
Technology,Pro,India,16.0,93.0,2,286,On_time,0
Travel,Enterprise,UK,21.0,21.0,0,295,On_time,0
Education,Basic,UK,37.0,67.0,3,54,Failed,1
Finance,Enterprise,UK,17.0,98.0,3,351,Failed,0
Education,Basic,USA,12.0,46.0,4,326,On_time,0
Finance,Enterprise,Germany,38.0,20.0,3,279,On_time,0
Travel,Enterprise,UK,22.0,76.0,4,276,Failed,0
Education,Enterprise,India,8.0,87.0,2,80,Failed,0
Finance,Enterprise,India,12.0,6.0,0,155,On_time,0
